archer pull up                                               -> Archer引体向上
archer push up                                               -> Archer俯卧撑
arms overhead full sit-up (male)                             -> 臂Overhead全sit上（男）
band bicycle crunch                                          -> 弹力带Bicycle卷腹
band one arm overhead biceps curl                            -> 弹力带单臂Overhead二头弯举
barbell floor calf raise                                     -> 杠铃Floor提踵
barbell seated overhead triceps extension                    -> 杠铃坐姿Overhead三头伸展
barbell standing overhead triceps extension                  -> 杠铃站姿Overhead三头伸展
bench dip on floor                                           -> 凳双杠臂屈伸Floor
bodyweight squatting row                                     -> 自重Squatting划船
cable floor seated wide-grip row                             -> 绳索Floor坐姿宽握划船
cable high pulley overhead tricep extension                  -> 绳索高PulleyOverhead三头伸展
cable overhead curl                                          -> 绳索Overhead弯举
cable overhead curl on exercise ball                         -> 绳索Overhead弯举瑜伽球
cable palm rotational row                                    -> 绳索palmRotational划船
cable rear delt row (stirrups)                               -> 绳索后束划船Stirrups
cable rear drive                                             -> 绳索后Drive
cable rope elevated seated row                               -> 绳索绳Elevated坐姿划船
cable rope high pulley overhead tricep extension             -> 绳索绳高PulleyOverhead三头伸展
cable rope lying on floor tricep extension                   -> 绳索绳仰卧Floor三头伸展
cable russian twists (on stability ball)                     -> 绳索Russian扭转稳定球
cable seated overhead curl                                   -> 绳索坐姿Overhead弯举
cable squatting curl                                         -> 绳索Squatting弯举
cable standing reverse grip one arm overhead tricep extension -> 绳索站姿反握单臂Overhead三头伸展
cable thibaudeau kayak row                                   -> 绳索ThibaudeauKayak划船
calf push stretch with hands against wall                    -> 小腿推拉伸手Against墙
calf stretch with hands against wall                         -> 小腿拉伸手Against墙
cambered bar lying row                                       -> Cambered杠仰卧划船
captains chair straight leg raise                            -> CaptainsChair直举腿
chair leg extended stretch                                   -> Chair腿Extended拉伸
circles knee stretch                                         -> Circles膝拉伸
clock push-up                                                -> Clock推上
cocoons                                                      -> Cocoons
crunch (hands overhead)                                      -> 卷腹手Overhead
crunch floor                                                 -> 卷腹Floor
curtsey squat                                                -> Curtsey深蹲
cycle cross trainer                                          -> Cycle交叉Trainer
diamond push-up                                              -> Diamond推上
donkey calf raise                                            -> Donkey提踵
